titles,type,google_ratings,google_reviews,google_price,locations,città,lng,lat,data_source
Ristorante Rose & Sapori a Desenzano del Garda,·  · Ristorante,"4,7",(494),€€€,"Lungolago Cesare Battisti, 89",collio,10.33333286,45.81116683,google
Tami' Ristorante Trattoria Di Lazzari Mauro S.A.S.,·  · Ristorante,"4,6",(335),€€,"Piazza Giuseppe Zanardelli, 9",collio,10.33333286,45.81116683,google
Ristorante Residence Park,· Ristorante,"5,0",(1),price not available,"Via Federico Bagozzi, 10",collio,10.33333286,45.81116683,google
Bar Catullo,·  · Bar,"4,6",(82),€,"Piazza Giuseppe Zanardelli, 61",collio,10.33333286,45.81116683,google
Albergo Ristorante Belvedere,· Ristorante,"4,4",(131),price not available,"Via Maniva, 75",collio,10.33333286,45.81116683,google
Rifugio Blachì 1,· Ristorante,"3,7",(23),price not available,Collio BS,collio,10.33333286,45.81116683,google
Tonassi Ottavio,· Ristorante,not available,not available,price not available,"Via Federico Bagozzi, 99",collio,10.33333286,45.81116683,google
Wild Café,· Bar caffè,"4,8",(11),price not available,"Piazza Giuseppe Zanardelli, 55",collio,10.33333286,45.81116683,google
Ristorante Pizzeria Pattinaggio,·  · Ristorante,"4,6",(234),€€,San Colombano BS,collio,10.33333286,45.81116683,google
Bar Loretta,· Bar,"4,5",(4),price not available,"Piazza Giuseppe Zanardelli, 7",collio,10.33333286,45.81116683,google
Cucina Di Montagna Ristorante Snack Bar,· Ristorante,"4,0",(1),price not available,"Via Maniva, 256",collio,10.33333286,45.81116683,google
Albergo Ristorante Pineta,· Ristorante,"4,0",(192),price not available,"Via Maniva, 253/a",collio,10.33333286,45.81116683,google
Trattoria Miravalle,· Cucina tradizionale,"3,6",(5),price not available,Via Maniva,collio,10.33333286,45.81116683,google
Rifugio Blachì 2,· Ristorante,"3,4",(20),price not available,Collio BS,collio,10.33333286,45.81116683,google
Pizzeria Cielo Alto,· Pizza,"4,3",(53),price not available,"Via Maniva, Passo Maniva, 254",collio,10.33333286,45.81116683,google
Aglio e Oglio ROGNO,·  · Ristorante,"4,2",(678),€€,"Via Montegrappa, 1",rogno,10.13343949,45.85782003,google
Pizzeria Le Betulle,·  · Pizza,"4,5",(316),€€,"Largo Aldo Moro, 10",rogno,10.13343949,45.85782003,google
SUSHI ZY RISTORANTE GIAPPONESE GRIGLIA CINESE,·  · Giapponese,"4,4",(301),€€,"Via Vittorio Veneto, 12",rogno,10.13343949,45.85782003,google
Millennium MA. LU,·  · Pizza,"4,5",(52),€,"Via Nazionale, 25",rogno,10.13343949,45.85782003,google
PIZZERIA SPEEDY,· Pizza,"4,3",(71),price not available,"Via S. Caterina da Siena, 4",rogno,10.13343949,45.85782003,google
Ristorante Gli Spiazzi,·  · Ristorante,"4,4",(157),€,"Via Bartolomeo Colleoni, 1",rogno,10.13343949,45.85782003,google
Trattoria Beatì,·  · Cucina tradizionale,"4,5",(1135),€,Artogne BS,rogno,10.13343949,45.85782003,google
Albergo Ristorante Airone,· Hotel,"4,0",(318),price not available,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Osteria Di Bacco,·  · Ristorante,"4,6",(240),€€,Gianico BS,rogno,10.13343949,45.85782003,google
Ristorante Al Campanile,·  · Ristorante,"4,5",(473),€€,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Baita Termen,· Ristorante,"4,3",(1229),price not available,Castione della Presolana BG,rogno,10.13343949,45.85782003,google
La Ruota Blu Ristorante Pizzeria,·  · Ristorante,"4,0",(838),€€,Pian Camuno BS,rogno,10.13343949,45.85782003,google
Trani Braceria Pizzeria,·  · Ristorante,"4,5",(698),€€,Pisogne BS,rogno,10.13343949,45.85782003,google
Tentazioni Ristorante,·  · Italiana,"4,7",(875),€€,Costa Volpino BG,rogno,10.13343949,45.85782003,google
La Tana Da Mario,· Italiana,"4,4",(958),price not available,Gianico BS,rogno,10.13343949,45.85782003,google
Osteria Gabossi,·  · Ristorante,"4,6",(520),€€,Darfo Boario Terme BS,rogno,10.13343949,45.85782003,google
Osteria Spirito Di Vino,·  · Ristorante,"4,5",(404),€€€,Lovere BG,rogno,10.13343949,45.85782003,google
Pinocchio,·  · Ristorante,"4,2",(1529),€€,Lovere BG,rogno,10.13343949,45.85782003,google
Osteria Contini,·  · Ristorante,"4,7",(177),€€€,Angolo Terme BS,rogno,10.13343949,45.85782003,google
Osteria Carlì - Pisogne,· Cucina tradizionale,"4,3",(154),price not available,Fraine BS,rogno,10.13343949,45.85782003,google
Ristorante Le Motte,·  · Ristorante,"4,4",(1883),€€,"Località le Motte, Via alla Corva, 3",valdisotto,10.35511049,46.43167153,google
Ristorante Pizzeria La Krapena,·  · Pizza,"4,3",(423),€€,"Via Nazionale, 31B",valdisotto,10.35511049,46.43167153,google
Bar Ristoro Laghetti,·  · Ristorante,"4,4",(376),€€,localita' Laghetti della Rocca,valdisotto,10.35511049,46.43167153,google
Campeggio Ristorante Pizzeria Cima Piazzi,·  · Ristorante,"4,3",(917),€€,"Via Nazionale, 29",valdisotto,10.35511049,46.43167153,google
Ristoro San Colombano,·  · Bar,"4,3",(161),€€,Località S. Colombano,valdisotto,10.35511049,46.43167153,google
Rifugio Alpino Baita Motin,· Ristorante,"4,5",(292),price not available,Via Crap del Maro,valdisotto,10.35511049,46.43167153,google
Baita de Mario,· Ristorante,"4,4",(318),price not available,Localita' Ciuk 8,valdisotto,10.35511049,46.43167153,google
Albergo Ristorante San Pietro,· Hotel,"4,4",(105),price not available,"Via S. Pietro, 2",valdisotto,10.35511049,46.43167153,google
Enoteca Guanella e Ristorante dell'Enoteca,·  · Ristorante,"4,7",(398),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Osteria La Bajona,·  · Ristorante,"4,5",(821),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ciuk Aprés Ski,·  · Ristorante,"4,6",(349),€€,Località Ciuk 6,valdisotto,10.35511049,46.43167153,google
Ristorante Gallo Cedrone,·  · Ristorante,"3,9",(227),€€,"Via Bucellina, 8",valdisotto,10.35511049,46.43167153,google
Ristorante & Pizzeria Eira (B&B),· Ristorante,"4,4",(708),price not available,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ristorante Pizzeria Fior D’Alpe Bormio | Forno a legna e cucina tipica valtellinese,· Ristorante,"4,4",(84),price not available,Valdidentro SO,valdisotto,10.35511049,46.43167153,google
Hotel al Forte,· Hotel,"4,3",(218),price not available,"Via al Forte, 60",valdisotto,10.35511049,46.43167153,google
Osteria Il Triciclo,·  · Ristorante,"4,5",(333),€€,"a, Via Roma, 27",valdisotto,10.35511049,46.43167153,google
Ristorante Chalet dei Rododendri,· Ristorante,"4,4",(469),price not available,Località La Rocca,valdisotto,10.35511049,46.43167153,google
Chiosco da Michele,·  · Ristorante,"4,7",(206),€,"Via Bormio, Localita' Bormio 2000, 1",valdisotto,10.35511049,46.43167153,google
Ristorante tipico valtellinese La Rasiga Bormio,·  · Ristorante,"4,4",(1395),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Chalet La Rocca Ristorante Pizzeria,·  · Ristorante,"4,5",(548),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Ristorante Gavioli,·  · Cucina raffinata,"4,8",(299),€€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Oliver American Restaurant,·  · Griglia,"4,2",(2320),€€,Bormio SO,valdisotto,10.35511049,46.43167153,google
Albergo Ristorante Pizzo Tre Signori,· Hotel,"4,3",(195),price not available,not available,valtorta,9.53500677,45.9775777,google
Bar Ristorante Ceresola,· Ristorante,"4,8",(32),price not available,⋅ Apre mer alle ore 09,valtorta,9.53500677,45.9775777,google
Ceresola,· Attrazione turistica,"4,3",(8),price not available,not available,valtorta,9.53500677,45.9775777,google
Bar Arcobaleno,· Bar,"4,5",(11),price not available,Aperto ⋅ Chiude alle ore 20,valtorta,9.53500677,45.9775777,google
Rifugio Trifoglio,· Rifugio di montagna,"4,2",(387),price not available,not available,valtorta,9.53500677,45.9775777,google
Latteria Sociale di Valtorta s.a.c.,· Negozio di formaggi,"4,6",(74),price not available,⋅ 18:30,valtorta,9.53500677,45.9775777,google
Seggiovia Chiavello - Valtorta Piani di Bobbio,· Attrazione turistica,"4,3",(100),price not available,not available,valtorta,9.53500677,45.9775777,google
Pizzeria Piazzole,·  · Pizza,"4,5",(56),€,"Via 4 Novembre, 33",artogne,10.16452435,45.84832151,google
Pizzeria Pim Pam ARTOGNE,·  · Pizza,"4,4",(92),€,"Via Valeriana, 10",artogne,10.16452435,45.84832151,google
Iuiu,· Ristorante,not available,not available,price not available,Via Plagne,artogne,10.16452435,45.84832151,google
Pizza Pazza Da Silvia ARTOGNE,·  · Pizza,"4,7",(94),€,"Via XXV Aprile, 30",artogne,10.16452435,45.84832151,google
Festa Sotto il Tiglio,· Ristorante,"5,0",(4),price not available,"Via Alberzoni, 9",artogne,10.16452435,45.84832151,google
Il Boccone,· Ristorante,"4,2",(28),price not available,"Via Plan di Montecampione, 24",artogne,10.16452435,45.84832151,google
Puerto La Suerte,·  · Ristorante,"4,4",(323),€€,Gianico BS,artogne,10.16452435,45.84832151,google
Ristorante Il Bait,·  · Italiana,"4,6",(363),€€,Via Plan di Montecampione,artogne,10.16452435,45.84832151,google
Luppoleto Gianico - Brew Pub birreria con cucina,·  · Birreria,"4,7",(101),€€,Gianico BS,artogne,10.16452435,45.84832151,google
Ristorante La Piazzetta,·  · Ristorante,"4,5",(396),€€,"Via Pradosole, di",artogne,10.16452435,45.84832151,google
Bim Bum Bar,· Bar,"4,6",(16),price not available,"Piazza A. Lorenzetti, 6",artogne,10.16452435,45.84832151,google
Agriturismo Le Frise,· Agriturismo,"4,5",(171),price not available,"Via Plagne, 12",artogne,10.16452435,45.84832151,google
Bar Station,· Bar,"4,6",(60),price not available,"Viale Leopardi, 29",artogne,10.16452435,45.84832151,google
Rifugio dosso rotondo,·  · Ristorante,"4,6",(474),€€,Via Plan di Montecampione,artogne,10.16452435,45.84832151,google
Al Portico,·  · Ristorante,"4,1",(113),€,Gianico BS,artogne,10.16452435,45.84832151,google
Aglio e Oglio - MILLEeOTTO,· Ristorante,"3,7",(27),price not available,Via Plan di Montecampione,artogne,10.16452435,45.84832151,google
Bar 2000,·  · Ristorante,"4,4",(113),€,Località corniolo,artogne,10.16452435,45.84832151,google
Locanda del Cacciatore,· Ristorante,"4,3",(802),price not available,⋅ Apre mar alle ore 07:30,gromo,9.92990165,45.97038555,google
Ristorante Posta Al Castello,·  · Ristorante,"4,3",(237),€€,"Piazza Dante, 2",gromo,9.92990165,45.97038555,google
Hotel Ristorante Gromo,· Ristorante,"3,8",(158),price not available,Via Papa Giovanni XXIII,gromo,9.92990165,45.97038555,google
Posta Al Castello,"Piazza Dante, 2","4,5",(2),price not available,not available,gromo,9.92990165,45.97038555,google
Bar Del Centro,·  · Bar,"4,4",(230),€,"Piazza Dante, 5",gromo,9.92990165,45.97038555,google
Trattoria da Martino,·  · Ristorante,"4,6",(704),€€,Gandellino BG,gromo,9.92990165,45.97038555,google
Hotel Spiazzi,· Ristorante,"3,9",(384),price not available,"Piazzale Avert, 1",gromo,9.92990165,45.97038555,google
Gromo,· Attrazione turistica,"4,7",(32),price not available,Piazza Dante,gromo,9.92990165,45.97038555,google
Oratorio di Gromo,· Bar,"4,2",(10),price not available,"Via Don Carminati, 5",gromo,9.92990165,45.97038555,google
Bar Valery,·  · Bar,"4,3",(250),€,"Via Giacinto Gambirasio, 18",gromo,9.92990165,45.97038555,google
Chalet Fernanda Di Zamboni Francesco,· Italiana,"4,1",(190),price not available,Piazzale Giovanni Paolo 2°,gromo,9.92990165,45.97038555,google
Ristorante @ Agriturismo Cà Di Racc,· Ristorante,"4,6",(56),price not available,Valgoglio BG,gromo,9.92990165,45.97038555,google
Vittoria Hotel,· Ristorante,"4,6",(453),price not available,"Via Spiazzi, 136",gromo,9.92990165,45.97038555,google
Bar Trota,·  · Bar,"4,5",(197),€,Gandellino BG,gromo,9.92990165,45.97038555,google
Dolce & Salato Pizzeria,· Pizza,"4,6",(82),price not available,Ponte Seghe BG,gromo,9.92990165,45.97038555,google
Casa di slore,· Barbecue,"5,0",(1),price not available,Gromo San Marino BG,gromo,9.92990165,45.97038555,google
Tigli,·  · Italiana,"4,6",(853),€€,"Via C. Besta, 19",teglio,10.06328021,46.17226169,google
Ristorante San Pietro,·  · Ristorante,"4,5",(814),€€,"il martedi, Da settembre chiuso, Via Dottor Egisto Pruneri, 2",teglio,10.06328021,46.17226169,google
Ristorante La Galeda,·  · Ristorante,"4,5",(554),€€,"Via Roma, 8",teglio,10.06328021,46.17226169,google
Ristorante Pizzeria Al Castello,·  · Ristorante,"4,5",(615),€€,"Via Carlo Besta, 10",teglio,10.06328021,46.17226169,google
Hotel Ristorante Bellavista Teglio,· Ristorante,"4,2",(450),price not available,"Via Roma, 32",teglio,10.06328021,46.17226169,google
Combolo Hotel e Ristorante,· Ristorante,"4,5",(1534),price not available,"Via Roma, 5",teglio,10.06328021,46.17226169,google
Hotel Ristorante Residence La Rosa,· Ristorante,"4,4",(424),price not available,"Via Fratelli Lazzaroni, 9",teglio,10.06328021,46.17226169,google
Ristorante Tunina,·  · Ristorante,"4,4",(131),€,"Via Somasassa, 46",teglio,10.06328021,46.17226169,google
Agriturismo La Piana,· Agriturismo,"4,2",(97),price not available,Strada per Prato Valentino,teglio,10.06328021,46.17226169,google
Hotel Ristorante Miravalle,· Hotel,"4,0",(311),price not available,"Via Roma, 70",teglio,10.06328021,46.17226169,google
Bar Sport,· Bar,"4,3",(128),price not available,"Via Roma, 11",teglio,10.06328021,46.17226169,google
Laghetto sommasassa,·  · Ristorante,"4,4",(55),€,Via Somasassa,teglio,10.06328021,46.17226169,google
Ristorante La Corna,·  · Italiana,"4,5",(351),€€,"Via Chiesa, 9",teglio,10.06328021,46.17226169,google
Ristorante Fracia,·  · Italiana,"4,6",(453),€€,"Località, Via Fracia",teglio,10.06328021,46.17226169,google
Ristorante Belandin - Hotel,· Ristorante,"4,5",(719),price not available,"Via Casa Scranzi, 28",teglio,10.06328021,46.17226169,google
Gran Bar,·  · Bar,"4,2",(292),€€,"Largo Eugenio Morelli, 6",teglio,10.06328021,46.17226169,google
Bar Italia,·  · Bar,"4,4",(87),€,"Salita S. Silvestro, 1",teglio,10.06328021,46.17226169,google
Agriturismo Il Vecchio Torchio,· Agriturismo,"4,5",(490),price not available,"Via Arboledo, 15",teglio,10.06328021,46.17226169,google
Accademia del Pizzocchero di Teglio,· Associazione o organizzazione,"4,6",(42),price not available,"Piazza S.Eufemia, 6",teglio,10.06328021,46.17226169,google
Chalet Baita Del Sole,·  · Ristorante,"4,0",(386),€€,Prato Valentino SO,teglio,10.06328021,46.17226169,google
IL MULINEL,· Agriturismo,"4,7",(144),price not available,"LOC. TEGLIO - VIA CA, Via Casa Scranzi",teglio,10.06328021,46.17226169,google
Marameo Pizzeria d'Asporto,·  · Pizza da asporto,"4,2",(60),€,"Via Roma, 4",teglio,10.06328021,46.17226169,google
Agriturismo Da Alberta,· Agriturismo,"4,8",(103),price not available,"Via Dosso Rigoletto, 2",teglio,10.06328021,46.17226169,google
Rifugio Cristina Valbelviso,· Ristorante,"4,4",(160),price not available,"Via san Paolo, 7",teglio,10.06328021,46.17226169,google
Agritur,· Ristorante,not available,not available,price not available,"Via Arboledo, 15",teglio,10.06328021,46.17226169,google
Crotto del Fuin,· Italiana,"4,3",(665),price not available,⋅ Apre mar alle ore 11:30,piuro,9.4208521,46.32946842,google
Crotto Belvedere,·  · Ristorante,"4,4",(1638),€€,Piazza della Chiesa,piuro,9.4208521,46.32946842,google
Restaurant Baita del Capriolo,·  · Ristorante,"4,5",(267),€€,Piuro SO,piuro,9.4208521,46.32946842,google
Crotto Quartino,·  · Ristorante,"4,4",(2406),€€,"Strada comunale dei Quartino, 5 23020, Via dei Quartini, 5",piuro,9.4208521,46.32946842,google
Mood - Bar con Cucina - Borgonuovo di Piuro (SO),· Ristorante,"4,4",(42),price not available,"Via Sarlone, 1/A",piuro,9.4208521,46.32946842,google
Ristoro Val di Lei,·  · Ristorante,"4,6",(78),€€,SO,piuro,9.4208521,46.32946842,google
Pizzeria Pink Panther,·  · Pizza,"4,2",(220),€,"Via Nazionale, 4",piuro,9.4208521,46.32946842,google
Ristorante Passerini,·  · Ristorante,"4,6",(160),€€€,Chiavenna SO,piuro,9.4208521,46.32946842,google
Crotto al Prato,· Ristorante,"4,3",(1370),price not available,Chiavenna SO,piuro,9.4208521,46.32946842,google
Ristorante Crotto Ombra,·  · Ristorante,"4,5",(1157),€€,Chiavenna SO,piuro,9.4208521,46.32946842,google
Crotto Giovanantoni,·  · Ristorante,"4,3",(390),€,Chiavenna SO,piuro,9.4208521,46.32946842,google
Kiosko Legnone Food&Beer,· Griglia,"4,0",(27),price not available,"Via Sant’Abbondio, 2",piuro,9.4208521,46.32946842,google
Bar Cascata,·  · Bar,"4,2",(57),€€,"Strada Comunale Di Borgonuovo, Piuro, So 23020",piuro,9.4208521,46.32946842,google
Il Cantinone,·  · Cucina raffinata,"4,8",(52),€€€€,"Via Antonio De Giacomi, 39",madesimo,9.3441755,46.42815069,google
Tec de l'Urs,·  · Ristorante,"3,9",(349),€€,"Via Antonio De Giacomi, 23",madesimo,9.3441755,46.42815069,google
Ristorante 1945,· Ristorante,"4,0",(6),price not available,"Via G. Carducci, 8",madesimo,9.3441755,46.42815069,google
Ristorante Soldanella,· Ristorante,"4,4",(39),price not available,"Via Antonio De Giacomi, 1",madesimo,9.3441755,46.42815069,google
Tommy Madesimo,·  · Ristopub,"4,3",(90),€€,"Via Mater, 2",madesimo,9.3441755,46.42815069,google
DallAle Bistrot,· Panini,"4,6",(65),price not available,"Via Antonio De Giacomi, 5",madesimo,9.3441755,46.42815069,google
Ristorante @ Chalet Capriolo,· Ristorante,"5,0",(2),price not available,"Via G. Carducci, 33",madesimo,9.3441755,46.42815069,google
La Sorgente,·  · Ristorante,"3,8",(326),€€,"Via Emet, 12",madesimo,9.3441755,46.42815069,google
Queen's Club,· Ristorante,"1,0",(2),price not available,"Via Antonio De Giacomi, 2",madesimo,9.3441755,46.42815069,google
La Baitella,·  · Ristorante,"4,4",(104),€€,"Località, Via Andossi",madesimo,9.3441755,46.42815069,google
Ristorante Dogana Vegia,·  · Ristorante,"4,0",(147),€€,"Via Emet, 65",madesimo,9.3441755,46.42815069,google
Caffè Centrale Madesimo,· Bar,"3,8",(87),price not available,"Piazza Bertacchi, 2",madesimo,9.3441755,46.42815069,google
La Bicocca,· Ristorante,"4,7",(113),price not available,"Via Calzaferri, 1",madesimo,9.3441755,46.42815069,google
Bollicine,·  · Bar,"3,9",(263),€€,"Via G. Carducci, 19",madesimo,9.3441755,46.42815069,google
Osteria Vegia,·  · Ristorante,"4,6",(457),€€,"Via Cascata, 7",madesimo,9.3441755,46.42815069,google
Magnum,· Ristorante,"4,2",(37),price not available,"Unnamed Road, 23024",madesimo,9.3441755,46.42815069,google
Caffè La Genuina,·  · Caffetteria,"4,1",(158),€€,"Via Antonio De Giacomi, 7",madesimo,9.3441755,46.42815069,google
Ristorante al Bosco,· Ristorante,not available,not available,price not available,"Via per Motta, 14",madesimo,9.3441755,46.42815069,google
Ristorante k2,· Italiana,"3,0",(2),price not available,"Via G. Carducci, 11",madesimo,9.3441755,46.42815069,google
Red Fox,·  · Bar,"4,3",(103),€,"23024, Via Antonio De Giacomi, 23",madesimo,9.3441755,46.42815069,google
Hotel Soldanella,· Hotel,"4,3",(293),price not available,"Via Antonio De Giacomi, 1",madesimo,9.3441755,46.42815069,google
Pizzeria Da Caballus,· Pizza,not available,not available,price not available,Madesimo SO,madesimo,9.3441755,46.42815069,google
Carducci,· Bar,"4,7",(19),price not available,"23024, Via Duilio Brenta, 3",madesimo,9.3441755,46.42815069,google
Magnum Madesimo,"Località, Via Andossi","4,2",(5),price not available,not available,madesimo,9.3441755,46.42815069,google
Bianco e Turchino,· Ristorante,not available,not available,price not available,"Via G. Carducci, 59",madesimo,9.3441755,46.42815069,google
Bar Pizzeria Palasport,· Bar,"4,5",(8),price not available,"Via Degli Argini, 4",madesimo,9.3441755,46.42815069,google
I Larici,· Ristorante,"4,5",(1533),price not available,pian dei larici,madesimo,9.3441755,46.42815069,google
Ristorante Suretta,·  · Ristorante,"4,3",(247),€€,"Via per Motta, 3",madesimo,9.3441755,46.42815069,google
La libellula,·  · Ristorante,"4,4",(172),€€,"Viale faggeto, 4",margno,9.37998387,46.03048114,google
Trattoria Regina - Crandola Valsassina (lc),·  · Ristorante,"4,5",(1446),€,Crandola Valsassina LC,margno,9.37998387,46.03048114,google
Osteria Il Gatto E La Volpe - Vegno-Crandola Valsassina (lc),·  · Ristorante,"4,5",(239),€,Crandola Valsassina LC,margno,9.37998387,46.03048114,google
Ragno Orobic Pub,·  · Pub,"4,4",(128),€,"Via al Tennis, 9",margno,9.37998387,46.03048114,google
Da Gigi Crandola Ristorante Albergo,· Ristorante,"4,7",(660),price not available,Crandola Valsassina LC,margno,9.37998387,46.03048114,google
Albergo Ristorante Baitock,· Ristorante,"4,0",(150),price not available,Viale sciatori,margno,9.37998387,46.03048114,google
Hotel Ristorante Sassi Rossi,· Ristorante,"4,1",(526),price not available,Crandola Valsassina LC,margno,9.37998387,46.03048114,google
Albergo Ristorante Baci,· Ristorante,"4,3",(633),price not available,⋅ Apre mar alle ore 00,valbondione,10.01261961,46.03798458,google
Ostello Casa Corti,· Ristorante,"4,4",(334),price not available,not available,valbondione,10.01261961,46.03798458,google
Pesca sportiva con centro sportivi,·  · Ristorante,"4,3",(66),price not available,€,valbondione,10.01261961,46.03798458,google
Albergo Morandi,· Ristorante,"4,5",(341),price not available,not available,valbondione,10.01261961,46.03798458,google
RIFUGIO DUE BAITE,· Ristorante,"4,7",(94),price not available,⋅ Apre sab alle ore 09,valbondione,10.01261961,46.03798458,google
Agriturismo e Azienda Agricola Stala di Mostacc,· Agriturismo,"4,1",(140),price not available,not available,valbondione,10.01261961,46.03798458,google
Ol Mulinerì,·  · Fornaio,"4,3",(432),price not available,€€,valbondione,10.01261961,46.03798458,google
BAR RISTORANTE AURORA,·  · Cucina tradizionale,"4,4",(82),price not available,€,valbondione,10.01261961,46.03798458,google
Rifugio Antonio Curò,· Rifugio di montagna,"4,6",(1261),price not available,not available,valbondione,10.01261961,46.03798458,google
Crazy bar pizzeria,· Pizza,"4,8",(4),price not available,⋅ Apre sab alle ore 07:30,valbondione,10.01261961,46.03798458,google
Cavandola,· Pizza,"2,8",(22),price not available,not available,valbondione,10.01261961,46.03798458,google
Rifugio Campel,· Rifugio di montagna,"4,3",(363),price not available,not available,valbondione,10.01261961,46.03798458,google
Bar Trota,·  · Bar,"4,5",(197),price not available,€,valbondione,10.01261961,46.03798458,google
Colonnina di ricarica Nuova Trattoria la Cascate - e-Station,· Stazione di ricarica per veicoli elettrici,"4,8",(6),price not available,not available,valbondione,10.01261961,46.03798458,google
"Room&Breakfast Ristorante Pizzeria Cafè ""Il Melograno""",· Ristorante,"3,6",(45),price not available,not available,valbondione,10.01261961,46.03798458,google
Rifugio Mirtillo,· Rifugio,"4,6",(277),price not available,not available,valbondione,10.01261961,46.03798458,google
Trattoria Del Viandante,·  · Ristorante,"4,4",(483),€€,"Via Fioravante Moreschi, 28",bagolino,10.46893818,45.82122915,google
Bar Trattoria Ancora,·  · Ristorante,"4,2",(180),€,"Via S. Rocco, 34",bagolino,10.46893818,45.82122915,google
Al Cavallino,·  · Pizza,"4,3",(282),€€,"Via S. Giorgio, 164",bagolino,10.46893818,45.82122915,google
La Malga del Re,· Ristorante,"4,7",(54),price not available,"Via Sant'Anna, 37",bagolino,10.46893818,45.82122915,google
Pizzeria Nuovo Fiore,·  · Pizza,"4,4",(168),€,"Via Siano, 16",bagolino,10.46893818,45.82122915,google
"Albergo Ristorante Bar Gelateria ""Al Tempo Perduto""",· Ristorante,"4,3",(226),price not available,"Via S. Rocco, 46",bagolino,10.46893818,45.82122915,google
Monte Pizza,· Pizza,"4,6",(39),price not available,"Via S. Giorgio, 125",bagolino,10.46893818,45.82122915,google
Live Pub Pineta,·  · Panini,"4,3",(264),€,Via Mignano,bagolino,10.46893818,45.82122915,google
