titles,type,google_ratings,google_reviews,google_price,locations,città,lng,lat,data_source
Trattoria Cerreto,·  · Italiana,"4,6",(388),€€,"Via Cerreto, 3e",bagolino,10.46893818,45.82122915,google
Bar Birreria Centrale Di Zaneti Nerio,· Birreria,"3,0",(2),price not available,"Via S. Rocco, 2",bagolino,10.46893818,45.82122915,google
La Baita S.A.S Di Scalvini Matteo & C. Ristorante Pizzeria,·  · Pizza,"4,5",(442),€€,"Via Pissisidolo, 18",bagolino,10.46893818,45.82122915,google
Bar Maniva,· Bar,"4,6",(69),price not available,"Piazza Guglielmo Marconi, 2",bagolino,10.46893818,45.82122915,google
Ristorante Bar Pratolungo,·  · Ristorante,"3,8",(39),€€,Località Maniva,bagolino,10.46893818,45.82122915,google
Rifugio Fabus Di Alberti Franca,·  · Ristorante,"4,7",(327),€€,Localita' Maniva-Fabus,bagolino,10.46893818,45.82122915,google
Bar Amici bagolino,· Bar,"4,4",(118),price not available,"Piazza Guglielmo Marconi, 1",bagolino,10.46893818,45.82122915,google
Ristorante il Caminetto,· Ristorante,"3,9",(56),price not available,"Via Valle Dorizzo, 25",bagolino,10.46893818,45.82122915,google
L'Ontano comfort food & drink,· Italiana,not available,not available,price not available,"Via Pian d'Oneda, 40",bagolino,10.46893818,45.82122915,google
Chalet Maniva,· Ristorante,"4,4",(230),price not available,"Località Maniva, 6",bagolino,10.46893818,45.82122915,google
Bar Ristorante e Negozio di articoli sportivi Benini Luciano,·  · Ristorante,"4,8",(48),€€,"Via Valle Dorizzo, 23A",bagolino,10.46893818,45.82122915,google
Albergo e Ristorante Al Pescatore di Faes Angiolina e Figli Snc,·  · Ristorante,"4,0",(428),€€,"Via dei Quadri Quarta, 36",bagolino,10.46893818,45.82122915,google
Ristorante Pizzeria Villa la pausa,·  · Italiana,"4,5",(807),€€,"Via S. Giacomo, 42",bagolino,10.46893818,45.82122915,google
Trattoria Taverna,·  · Cucina tradizionale,"4,5",(174),€,"Via P. Prudenzini, 15",breno,10.30204086,45.95601285,google
Ristorante Pizzeria Bar Giardino,·  · Cucina tradizionale,"4,3",(787),€€,"Viale 28 Aprile, 7",breno,10.30204086,45.95601285,google
Ristorante Pizzeria Bracconiere,·  · Pizza,"4,5",(284),€€,"Località Degna, Snc",breno,10.30204086,45.95601285,google
AQUILETTA,·  · Pizza,"4,4",(235),€,"Via Leonardo da Vinci, 17",breno,10.30204086,45.95601285,google
Locanda Albergo Gaver,·  · Ristorante,"4,3",(321),€€,Località Gaver,breno,10.30204086,45.95601285,google
Pizza Impero,· Ristorante,"4,4",(21),price not available,"Piazza Sant'Antonio, 4",breno,10.30204086,45.95601285,google
L’OSTERIA,·  · Bar,"4,8",(66),€€,"Piazza Sant'Antonio, 5",breno,10.30204086,45.95601285,google
Delizioso kebab pizza,· Ristorante,"4,8",(52),price not available,"Via professore francesco, Via Professor Francesco Domenighini, 3",breno,10.30204086,45.95601285,google
Breno Pizza,· Pizza,"4,6",(28),price not available,"SP345, 75",breno,10.30204086,45.95601285,google
GianGusto,·  · Ristorante,"4,4",(130),€,"Piazza Generale Pietro Ronchi, 18",breno,10.30204086,45.95601285,google
Conti Vielmi Margherita,· Ristorante,"5,0",(4),price not available,"Via Cisternello, 1A",breno,10.30204086,45.95601285,google
I PORTICI Pizzeria Griglieria,· Ristorante di pesce,"4,4",(27),price not available,"Via Professor Fortunato Canevali, 14",breno,10.30204086,45.95601285,google
Pizzeria Break Breno,· Pizza da asporto,"4,6",(39),price not available,"Via Martiri della Libertà, 24",breno,10.30204086,45.95601285,google
Che Botèp,· Birreria,"4,7",(21),price not available,Piazza Generale Pietro Ronchi,breno,10.30204086,45.95601285,google
Bubu 7 Di Baisotti Sebastian,· Pizza,"4,0",(3),price not available,"Piazza Lino Vielmi, 39",breno,10.30204086,45.95601285,google
Locanda Gaver Di Zanetti Maurizio,· Ristorante,not available,not available,price not available,"Località Gaver, 3",breno,10.30204086,45.95601285,google
Bistrò Le Coccinelle - Bar & Tavola calda,· Bar,"4,8",(8),price not available,"Via Leonardo da Vinci, 6",breno,10.30204086,45.95601285,google
Ristorante Monte Misa Cascinone,· Ristorante,"4,3",(18),price not available,Breno BS,breno,10.30204086,45.95601285,google
Gufetto Pizza,·  · Pizza,"4,5",(49),€,Piazza Lino Vielmi,breno,10.30204086,45.95601285,google
upupa coffee wine restaurant,·  · Caffè,"4,5",(162),€,"Via Leonardo da Vinci, 46",breno,10.30204086,45.95601285,google
Trattoria S. Clemente,·  · Barbecue,"4,4",(178),€,"Via S. Clemente, 4",pisogne,10.10889801,45.80480282,google
La Curt Restaurant,·  · Italiana,"4,5",(448),€€,"Via Papa Paolo VI, 7",pisogne,10.10889801,45.80480282,google
Ristorante Pizzeria Naet,·  · Ristorante,"4,2",(603),€€,"Via Roma, 8",pisogne,10.10889801,45.80480282,google
Ristorante Pizzeria Il Tazio,·  · Ristorante,"4,1",(520),€€,"Piazza Mercato, 1",pisogne,10.10889801,45.80480282,google
Trattoria del Vescovo,· Ristorante,"4,6",(145),price not available,"Piazza Vescovo Corna Pellegrini, 4/A",pisogne,10.10889801,45.80480282,google
Ristorante Pizzeria Goen,·  · Italiana,"4,2",(1230),€€,"Corso Giuseppe Zanardelli, 15",pisogne,10.10889801,45.80480282,google
Trattoria La Brasera,· Specialità carne alla griglia,"4,2",(689),price not available,"Via S. Girolamo, 5",pisogne,10.10889801,45.80480282,google
Ristorante El Lac,· Ristorante,"4,7",(19),price not available,"Via Don G. Recaldini, 1",pisogne,10.10889801,45.80480282,google
Il Nuovo Guscio,· Ristorante di pesce,"4,6",(77),price not available,"Piazza Vescovo Corna Pellegrini, 12b",pisogne,10.10889801,45.80480282,google
Trattoria Dosso Seradino,·  · Cucina tradizionale,"4,3",(379),€€,"Località Dosso Seradino, 39",pisogne,10.10889801,45.80480282,google
夢 Yume restaurant,·  · Giapponese,"4,7",(181),€€€,"Via Milano, 3",pisogne,10.10889801,45.80480282,google
La Piadina,· Ristorante,"3,5",(72),price not available,"Via Roma, 4",pisogne,10.10889801,45.80480282,google
Burgerzilla,·  · Ristorante,"4,4",(282),€,"Via Trento, 16",pisogne,10.10889801,45.80480282,google
Villa Damioli,· Ristorante,"4,6",(40),price not available,"Piazza Vescovo Corna Pellegrini, 8",pisogne,10.10889801,45.80480282,google
Pizzicotto,·  · Pizza,"4,2",(150),€,"Piazza Umberto I, 9",pisogne,10.10889801,45.80480282,google
Antica Dogana,· Ristorante,"5,0",(23),price not available,"Via Papa Paolo VI, 2a",pisogne,10.10889801,45.80480282,google
Baobab lounge cafè - pizzeria - business lunch,·  · Pizza,"4,1",(571),€€,"Piazza Mercato, 7",pisogne,10.10889801,45.80480282,google
Matti per la pizza,· Pizza da asporto,"4,7",(61),price not available,"Via S. Marco, 16",pisogne,10.10889801,45.80480282,google
Tosi Luciano,· Italiana,"3,5",(4),price not available,"Via Mandalossa, 5",pisogne,10.10889801,45.80480282,google
Eat Happy Pisogne,· Sushi takeaway,"5,0",(3),price not available,"Via della Repubblica, 1",pisogne,10.10889801,45.80480282,google
Ostaria San Michele - Cucina Tipica e Pizzeria,·  · Cucina tradizionale,"4,4",(196),€€,"Via San Michele, 6",pisogne,10.10889801,45.80480282,google
Agriturismo Alveare sul Lago,· Ristorante,"4,8",(93),price not available,Località Sonvico Superiore,pisogne,10.10889801,45.80480282,google
Lake Hotel La Pieve,· Hotel,"4,4",(464),price not available,"Villaggio Don Giovanni Recaldini, 1",pisogne,10.10889801,45.80480282,google
Bar Centrale,·  · Bar,"4,2",(509),€€,"Via Papa Paolo VI, 2",pisogne,10.10889801,45.80480282,google
New Generation,· Ristorante,"4,5",(102),price not available,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Italmark,· Alimentari,"3,9",(1284),price not available,"Via della Repubblica, 1",pisogne,10.10889801,45.80480282,google
Barbai,· Bar,"4,5",(148),price not available,"Piazza Vescovo Corna Pellegrini, 10",pisogne,10.10889801,45.80480282,google
D4 Bistrot,·  · Bistrò,"4,5",(102),€€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Chiosco al Parco Pisogne,· Caffè,"4,7",(15),price not available,"Via Pieve, 2",pisogne,10.10889801,45.80480282,google
Ristorante Duadell Val Palot,· Ristorante,"4,1",(27),price not available,"Unnamed Road, 25055",pisogne,10.10889801,45.80480282,google
Morgana,·  · Bar,"3,5",(879),€€,"Piazza Alpini, 2",pisogne,10.10889801,45.80480282,google
Bar ristorante concordia,·  · Ristorante,"4,0",(231),€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Agriturismo La Morina,· Ristorante,"4,5",(19),price not available,Loc. Digone,pisogne,10.10889801,45.80480282,google
Trattoria Bar da Lionello (Cristian),·  · Ristorante,"4,5",(116),€,"Via Provinciale, 27",pisogne,10.10889801,45.80480282,google
Caffe Corte,· Caffè,"4,6",(7),price not available,Via Trobiolo,pisogne,10.10889801,45.80480282,google
K2 coffee drinks food,· Ristorante,"4,6",(28),price not available,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Bar Bellesi Di Zanotti Omar,· Bar,"5,0",(2),price not available,"Via Provinciale, 28",pisogne,10.10889801,45.80480282,google
Romangelo,· Ristorante,"4,4",(94),price not available,Agriturismo Romangelo,pisogne,10.10889801,45.80480282,google
Caffetteria Bar Posta,· Bar,"4,5",(43),price not available,Piazza Vittoria,pisogne,10.10889801,45.80480282,google
Lungolago Pisogne,· Area per passeggiate,"4,6",(464),price not available,Via Papa Paolo VI,pisogne,10.10889801,45.80480282,google
Ristorante Pizzeria Il Cenacolo,·  · Pizza,"4,3",(339),€€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Bar del Commercio,·  · Caffè,"4,2",(278),€€,Piazza Umberto,pisogne,10.10889801,45.80480282,google
El Dos del Bec,· Agriturismo,"4,4",(401),price not available,Via Canale,pisogne,10.10889801,45.80480282,google
Yang Asian Restaurant - Costa Volpino,·  · Sushi,"4,6",(1037),€€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Punto Shop 24,· Caffè,"4,0",(1),price not available,"piazza umberto I, 10/b",pisogne,10.10889801,45.80480282,google
Istanbul Turkish Kebap Pizzeria-Bar,·  · Ristorante,"4,5",(786),€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
Ristorante Pizzeria Bersaglio,·  · Italiana,"3,6",(56),€€,Costa Volpino BG,pisogne,10.10889801,45.80480282,google
La Campagnola,·  · Pizza,"4,2",(679),€€,Lovere BG,pisogne,10.10889801,45.80480282,google
Hotel Capovilla,· Hotel,"4,3",(223),price not available,"Via Papa Paolo VI, 7",pisogne,10.10889801,45.80480282,google
Albergo Ristorante Stube,· Ristorante,"4,2",(365),price not available,Pian Camuno BS,pisogne,10.10889801,45.80480282,google
RIstorante Pizzeria Duadell Val Palot,· Consegna di pasti a domicilio,"4,1",(141),price not available,not available,pisogne,10.10889801,45.80480282,google
Bar Al Portico Di Sterni Mara,·  · Bar,"4,5",(39),€,"Corso Nave Corriera, 17A",pisogne,10.10889801,45.80480282,google
Ristorante @ Gabà,· Ristorante,"4,7",(75),price not available,⋅ 19,borno,10.20580785,45.94679424,google
Ristorante SAN FERMO,·  · Italiana,"4,6",(203),€€,"Via Vittorio Veneto, 79",borno,10.20580785,45.94679424,google
Ristorante Pizzeria Venturelli,· Ristorante,"4,4",(54),price not available,"Via Roma, 9",borno,10.20580785,45.94679424,google
Ristorante Pizzeria al Mulì,·  · Pizza,"4,4",(476),€€,"Via Monte Grappa, 2",borno,10.20580785,45.94679424,google
PizzCamì Ristorante Pizzeria,·  · Pizza,"4,5",(292),€€,"Via Don Pinotti, 11",borno,10.20580785,45.94679424,google
Piandass,·  · Pizza,"4,2",(428),€,"Viale Pineta, 30",borno,10.20580785,45.94679424,google
Osteria al Cantinì,·  · Ristorante,"4,7",(901),€€,"Via Vittorio Emanuele, 17",borno,10.20580785,45.94679424,google
Ristorante Albergo Belvedere,· Italiana,"4,3",(283),price not available,"Via Giardini, 30",borno,10.20580785,45.94679424,google
Albergo Ristorante Gabà,· Ristorante,"4,5",(468),price not available,"Viale Pineta, 34",borno,10.20580785,45.94679424,google
Pizzeria Lè Stess,· Pizza,"4,7",(248),price not available,"Via Rivadossa, 5b",borno,10.20580785,45.94679424,google
Al Pattinaggio,· Italiana,"3,8",(58),price not available,"Via Calamè, 21",borno,10.20580785,45.94679424,google
Posti contati,·  · Pizza,"4,5",(172),€,"Via Calamè, 3",borno,10.20580785,45.94679424,google
Baita Corna Rossa,· Ristorante,"4,1",(71),price not available,"Viale Pineta, 39",borno,10.20580785,45.94679424,google
Miorotti Domenico,· Pizza,"3,9",(7),price not available,"Viale Pineta, 30",borno,10.20580785,45.94679424,google
Navertino Trattoria e Bed&Breakfast,· Ristorante,"4,4",(394),price not available,"Via Navertino, 4",borno,10.20580785,45.94679424,google
Ristorante Cristallo Blu,· Ristorante,"4,4",(156),price not available,"Via Funivia, 41",borno,10.20580785,45.94679424,google
Rock&Blues,·  · Birreria,"4,3",(227),€,"Via Giardini, 35",borno,10.20580785,45.94679424,google
Bottega 1892,· Locale specializzato in cocktail,"4,7",(31),price not available,Via Monte Grappa,borno,10.20580785,45.94679424,google
Bar Pineta,·  · Griglia,"4,4",(161),€,Viale Pineta,borno,10.20580785,45.94679424,google
Bar Galleria Da Pierino,· Caffetteria,"4,5",(237),price not available,"Via Giardini, 4",borno,10.20580785,45.94679424,google
La Forneria F.lli Rigali,·  · Bar,"4,3",(472),price not available,€€,borno,10.20580785,45.94679424,google
Chalet Lova,·  · Ristorante,"4,4",(259),€€,"Località Lago di Lova snc, 25042",borno,10.20580785,45.94679424,google
Friends Pub,·  · Bar,"3,4",(28),€,"Via San Fermo, 2",borno,10.20580785,45.94679424,google
Ristorante Pizzeria La Tegola,·  · Pizza,"3,7",(96),€€,Piancogno BS,borno,10.20580785,45.94679424,google
Rifugio Monte Altissimo,·  · Ristorante,"4,5",(525),€€,Altissimo 1703,borno,10.20580785,45.94679424,google
Lago giallo,·  · Griglia,"4,2",(237),€€,"Via Giallo, 21",borno,10.20580785,45.94679424,google
Ristorante Capanna Plai Rifugio-Museo,·  · Cucina tradizionale,"4,3",(150),€,Località Plai,borno,10.20580785,45.94679424,google
Lostricheria,·  · Ristorante di ostriche,"4,5",(221),€€€,Via Sant’Alessandro 58,barzio,9.46834431,45.94646921,google
La Locanda di Miro',·  · Ristorante,"4,1",(926),€€,"Piazza G.Garibaldi, 11",barzio,9.46834431,45.94646921,google
Shabu Barzio,·  · Sushi,"4,6",(157),€€,"Via Martiri Patrioti Barziesi, 4",barzio,9.46834431,45.94646921,google
Bar Ristorante Chalet - Barzio (lc),·  · Ristorante,"3,3",(52),€€,"Piazza G.Garibaldi, 1",barzio,9.46834431,45.94646921,google
Albergo Ristorante Esposito,· Ristorante,"4,3",(505),price not available,"Via Francesca Manzoni, 33",barzio,9.46834431,45.94646921,google
Ristorante Pizzeria Chalet,·  · Pizza,"3,7",(194),€€,"Piazza G.Garibaldi, 1",barzio,9.46834431,45.94646921,google
Pizzeria Sharm El Sheikh,·  · Pizza,"4,3",(104),€,"Via Francesca Manzoni, 24",barzio,9.46834431,45.94646921,google
Ristorante del Cacciatore Bobbio,· Ristorante,not available,not available,price not available,Barzio LC,barzio,9.46834431,45.94646921,google
Bar Zio,· Bar,"4,8",(17),price not available,"Via T. Baruffaldi, 1",barzio,9.46834431,45.94646921,google
Antica Osteria,· Cucina tradizionale,"4,2",(87),price not available,"Via ai Monti, 1",barzio,9.46834431,45.94646921,google
Agriturismo Fattoria Pratobuscante - Barzio (lc),· Ristorante,"4,3",(471),price not available,Via Fornaci merlo,barzio,9.46834431,45.94646921,google
La Fattoria della Puppola,·  · Cucina toscana,"4,0",(243),€€,Località Conca Rossa,barzio,9.46834431,45.94646921,google
Hotel Ballestrin,· Ristorante,"3,8",(49),price not available,"Via Coldogna, 1",barzio,9.46834431,45.94646921,google
Ristorante Del Cacciatore Bobbio,·  · Ristorante,"4,0",(184),€,Barzio LC,barzio,9.46834431,45.94646921,google
Roadhouse Pub,·  · Pub,"4,6",(215),€€,"Via Roma, 45",barzio,9.46834431,45.94646921,google
La Stube Del Fondista,· Ristorante,"4,1",(15),price not available,Barzio LC,barzio,9.46834431,45.94646921,google
Albergo Cristallo,· Hotel,"4,4",(78),price not available,"Via Roma, 55",barzio,9.46834431,45.94646921,google
Piccolo Bar,· Bar,"3,7",(53),price not available,"Via Roma, 2",barzio,9.46834431,45.94646921,google
Hotel Vittoria,· Hotel,"4,0",(81),price not available,"Via Roma, 31",barzio,9.46834431,45.94646921,google
Bar Sport - Barzio (LC),· Tabaccheria,"4,4",(130),price not available,"Piazza G.Garibaldi, 8",barzio,9.46834431,45.94646921,google
Agriturismo La Possa,· Agriturismo,"4,2",(187),price not available,"Via Privata Combi, 2",barzio,9.46834431,45.94646921,google
Argentèe,·  · Ristorante,"4,0",(438),€€,"Via Monza, 27",barzio,9.46834431,45.94646921,google
Caffetteria Gelateria Bar Principe,·  · Bar,"4,0",(52),€,"Piazza G.Garibaldi, 10",barzio,9.46834431,45.94646921,google
Rifugio Sora di Fulvio Casari Snc,· Ristorante,"4,4",(113),price not available,Localita' Piani Di Bobbio,barzio,9.46834431,45.94646921,google
La Puppola Ristorante Toscano,·  · Cucina toscana,"4,6",(662),€€,Moggio LC,barzio,9.46834431,45.94646921,google
Maso Zambo - Mountain Lodge and Restaurant,· Ristorante,"4,8",(59),price not available,Cassina Valsassina LC,barzio,9.46834431,45.94646921,google
Pasticceria Passoni - Barzio (lc),·  · Pasticceria,"4,2",(1627),€€,"Via Roma, 36",barzio,9.46834431,45.94646921,google
Valsassina FIRST TRUCK FESTIVAL,· Ristorante,"4,0",(1),price not available,Barzio LC,barzio,9.46834431,45.94646921,google
Cascina Coldognetta,· Agriturismo,"4,6",(314),price not available,"Via Milano, 49",barzio,9.46834431,45.94646921,google
Ristorante Da Cesarino - Cassina Valsassina (lc),·  · Ristorante,"3,9",(333),€,Cassina Valsassina LC,barzio,9.46834431,45.94646921,google
Hamburgeria Jalapeno - Cassina Valsassina (LC),·  · Panini,"4,3",(459),€€,Cassina Valsassina LC,barzio,9.46834431,45.94646921,google
Forno Artigianale Novecento,·  · Fornaio,"4,4",(23),€€,"Via Francesca Manzoni, 11",barzio,9.46834431,45.94646921,google
Martino Bar,·  · Bar caffè,"4,0",(235),€€,Località Piani di Bobbio,barzio,9.46834431,45.94646921,google
Trattoria Corte Fiorina,·  · Ristorante,"4,3",(661),€€,"Via Giuseppe Bovara, 17",lecco,9.39339225,45.8557578,google
La Corte di Lucia,·  · Ristorante,"4,5",(303),€€€,"Via Caldone, 17",lecco,9.39339225,45.8557578,google
Osteria Montalbano,·  · Italiana,"4,3",(739),€,"Via Montalbano, 30",lecco,9.39339225,45.8557578,google
Torchio Moderna Osteria,·  · Ristorante,"4,6",(459),€€,"Vicolo Granai, 12",lecco,9.39339225,45.8557578,google
Giardino,·  · Italiana,"4,5",(340),€,"Corso Emanuele Filiberto, 13",lecco,9.39339225,45.8557578,google
La Stufata Trattoria Italiana,·  · Italiana,"4,5",(262),€€,"Via Carlo Cattaneo, 80",lecco,9.39339225,45.8557578,google
Granozero,·  · Ristorante,"4,4",(607),€€,"Corso Promessi Sposi, 14",lecco,9.39339225,45.8557578,google
Autentico Restaurant,· Italiana,"4,5",(342),price not available,"Via Giacomo Anghileri, 5",lecco,9.39339225,45.8557578,google
Ristorante Pontile Orestino,·  · Ristorante,"4,3",(901),€€,"Lungolario Cesare Battisti, 5",lecco,9.39339225,45.8557578,google
Barcaiolo Lecco,·  · Ristorante,"4,0",(1571),€€,"Piazza Era, 2",lecco,9.39339225,45.8557578,google
Mamaioa Bistrot,·  · Pesce,"4,5",(698),€€,"Vicolo del torchio, Piazza Mario Cermenati, 1",lecco,9.39339225,45.8557578,google
Curcuma,·  · Indiana,"4,5",(1068),€€,"Via Carlo Torri Tarelli, 5",lecco,9.39339225,45.8557578,google
Ristorante Pizzeria Ante Omnia,·  · Pizza,"4,5",(471),€€,"Via Arlenico, 26",lecco,9.39339225,45.8557578,google
Cardamomo Persian Palace Lecco,· Ristorante,"4,4",(164),price not available,"Piazza XX Settembre, 45",lecco,9.39339225,45.8557578,google
Filet osteria,· Ristorante,"4,5",(75),price not available,"Corso Giacomo Matteotti, 71",lecco,9.39339225,45.8557578,google
Ristorante Tabula Rosa Lecco,·  · Ristorante,"4,1",(815),€€,"Lungolario Luigi Cadorna, 20",lecco,9.39339225,45.8557578,google
Ristorante il Don Rodrigo,·  · Cucina tradizionale,"4,2",(252),€€,"Corso Emanuele Filiberto, 112",lecco,9.39339225,45.8557578,google
Nicolin Ristorante e Albergo,·  · Italiana,"4,6",(589),€€,"Via Amilcare Ponchielli, 54",lecco,9.39339225,45.8557578,google
Gyrosteria Da Yorgo,·  · Greca,"4,5",(779),€,"Via Tonio da Belledo, 123",lecco,9.39339225,45.8557578,google
"Trattoria ""La Rocca """,·  · Ristorante,"4,5",(411),€,"Localita' Rocca Dell'innominato, 2",lecco,9.39339225,45.8557578,google
Mare Mio Lecco,· Italiana,"4,2",(205),price not available,"Piazza XX Settembre, 36",lecco,9.39339225,45.8557578,google
Antica Osteria Casa Di Lucia,· Ristorante,"4,4",(382),price not available,"Via Lucia, 27",lecco,9.39339225,45.8557578,google
Hambù - Hamburgeria e Pinseria a Lecco,·  · Hamburger,"4,4",(1621),€€,"Lungolario Cesare Battisti, 17",lecco,9.39339225,45.8557578,google
Il Fiume,· Ristorante,"4,3",(100),price not available,"Via dei Partigiani, 101",lecco,9.39339225,45.8557578,google
Trattoria Vecchia Pescarenico,· Ristorante,"4,4",(242),price not available,"Corso Carlo Alberto, 5",lecco,9.39339225,45.8557578,google
Shabu Lecco,·  · Giapponese,"4,3",(1441),€€,"Via Gorizia, 5",lecco,9.39339225,45.8557578,google
Üsteria | Usteria Lecco,· Ristorante,"4,6",(132),price not available,"Via Carlo Cattaneo, 77",lecco,9.39339225,45.8557578,google
Hemingway,·  · Ristorante,"3,1",(760),€€€,"Piazza XX Settembre, 43",lecco,9.39339225,45.8557578,google
Trattoria Canto Giovannella,·  · Cucina tradizionale,"4,2",(730),€€,"Via ai Poggi, 45",lecco,9.39339225,45.8557578,google
Ristorante Mexicali - Lecco,·  · Messicana,"4,1",(1018),€€,"Lungolario Piave, 14",lecco,9.39339225,45.8557578,google
Antica Trattoria Americo,·  · Ristorante,"3,8",(185),€€,"Via Tonio da Belledo, 105",lecco,9.39339225,45.8557578,google
La Barrique,· Ristorante,"4,2",(5),price not available,"Via Privata, Via Priv. P. Maroncelli",lecco,9.39339225,45.8557578,google
Imbarcadero Lecco,·  · Assaggi,"3,7",(1626),€€,"Lungolario Cesare Battisti, 3",lecco,9.39339225,45.8557578,google
Ristorante Pizzeria Acquario,·  · Italiana,"4,2",(1483),€€,"Lungolario Luigi Cadorna, 1",lecco,9.39339225,45.8557578,google
Didaktico Restaurant,· Ristorante,"4,6",(34),price not available,"Via Fausto Valsecchi, 5",lecco,9.39339225,45.8557578,google
Osteria Olga,·  · Ristorante,"4,3",(250),€€,"Via Poncione, 7",lecco,9.39339225,45.8557578,google
Taverna Solferino,·  · Ristorante,"4,4",(126),€,"Via Solferino, 6",lecco,9.39339225,45.8557578,google
Ristorante Pizzeria Isola D'Oro,·  · Ristorante,"4,3",(975),€,"Corso Bergamo, 83",lecco,9.39339225,45.8557578,google
L'EK Bistrot,·  · Ristorante,"4,1",(299),€€,"Piazza XX Settembre, 50",lecco,9.39339225,45.8557578,google
Punjab,·  · Indiana,"4,5",(863),€€,"Lungolario Luigi Cadorna, 18",lecco,9.39339225,45.8557578,google
Numerosei Trattoria Pizzeria,·  · Italiana,"4,5",(929),€€,"Viale della costituzione, 31 A",lecco,9.39339225,45.8557578,google
Taverna ai Poggi,·  · Italiana,"4,1",(947),€€,"Via ai Poggi, 14/20",lecco,9.39339225,45.8557578,google
L'Osteria del Commercio,· Ristorante,"3,6",(230),price not available,"Lungolario Isonzo, 15",lecco,9.39339225,45.8557578,google
Antica Locanda del Ponte,·  · Ristorante,"4,0",(55),€€,"Via Bruso, 11",lecco,9.39339225,45.8557578,google
Bharat,·  · Indiana,"4,5",(307),€€,"V.le Valsugana, 9",lecco,9.39339225,45.8557578,google
Il Caminetto,·  · Italiana,"3,7",(147),€€,"Via ai Poggi, 150",lecco,9.39339225,45.8557578,google
Soqquadro,·  · Ristorante,"4,1",(2131),€€,"Piazza Era, 7",lecco,9.39339225,45.8557578,google
Aromi Lecco,·  · Ristorante,"4,2",(1051),€€,"Piazza Mazzini, 6/C",lecco,9.39339225,45.8557578,google
Trattoria tipica Pugliese A'Tiell,· Italiana,"3,9",(229),price not available,"Piazza XX Settembre, 35",lecco,9.39339225,45.8557578,google
Garage,·  · Ristorante,"4,5",(889),€€,"Corso Bergamo, 53",lecco,9.39339225,45.8557578,google
